Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,418.037415,419.325226,415.610443,416.402924,387.885162,3152667
2013-01-02,418.037415,423.981079,417.319244,419.993866,391.230164,6203434
2013-01-03,420.315826,426.952911,418.334595,426.333771,397.135834,7968629
2013-01-04,426.903381,428.240692,422.767578,426.878632,397.643402,6140890
2013-01-07,428.785553,431.410645,421.900787,424.278259,395.221069,7064261
2013-01-08,423.535309,425.021210,419.969116,421.331207,392.475922,6448905
2013-01-09,422.197998,425.888000,420.340576,422.346588,393.421753,7878644
2013-01-10,424.847870,425.442230,419.523346,421.034027,392.199036,4264172
2013-01-11,422.247528,422.495178,414.198822,416.006683,387.516052,3715209
2013-01-14,416.551514,422.495178,415.560913,419.795746,391.045593,3258598
2013-01-15,419.102325,421.900787,415.065582,419.597626,390.861053,4793989
2013-01-16,419.052795,431.361115,419.052795,426.630951,397.412720,9022900
2013-01-17,427.002441,442.579773,425.838470,440.821442,410.631348,10207239
2013-01-18,443.297974,447.235657,438.666870,445.873566,415.337433,10501297
2013-01-21,464.645630,473.016266,454.714752,455.655823,424.449768,20286308
2013-01-22,455.680603,460.980377,453.476501,455.705353,424.495972,8613623
2013-01-23,456.720734,460.039276,453.798431,457.191284,425.880066,5400448
2013-01-24,458.157135,459.816406,449.241638,453.476501,422.419647,6201657
2013-01-25,453.823212,454.368042,448.300568,451.817230,420.874023,6501830
2013-01-28,451.396210,452.287750,443.297974,444.561005,414.114777,6184550
2013-01-29,443.297974,446.765106,435.917938,437.280029,407.332428,7125282
2013-01-30,439.583191,447.458527,439.583191,445.477325,414.968353,8141748
2013-01-31,444.115234,444.783905,437.403839,439.162170,409.085724,7722548
2013-02-01,441.490112,445.675446,437.651489,442.802673,412.476868,3762524
2013-02-04,443.818054,446.269806,437.899139,439.186951,409.108826,6321183
2013-02-05,437.849609,438.790710,432.401276,433.268066,403.595276,4480439
2013-02-06,436.091278,437.304779,431.311584,433.713837,404.010529,4558007
2013-02-07,431.707855,436.859009,430.098114,432.351746,402.741730,3942395
2013-02-08,430.890594,432.896576,424.476379,427.720642,398.427765,4423115
2013-02-11,428.438843,433.391876,426.259491,430.122864,400.665466,3844245
2013-02-12,430.221924,436.041748,428.537903,433.614777,403.918213,4489795
2013-02-13,437.849609,439.830841,432.153625,435.373108,405.556122,4861085
2013-02-14,435.868408,437.577209,421.504547,424.005859,394.967377,5669500
2013-02-15,423.436249,424.674500,413.133911,418.928986,390.238190,6641223
2013-02-18,420.018646,423.287659,417.641174,419.770996,391.022522,2450597
2013-02-19,420.513947,423.485779,413.208191,420.216766,391.437775,4465943
2013-02-20,424.946930,435.298798,424.278259,433.292816,403.618317,6864000
2013-02-21,430.420044,434.283417,422.817108,425.566071,396.420715,7483003
2013-02-22,425.219330,431.905975,424.971680,427.250092,397.989410,4488226
2013-02-25,427.943512,428.414063,421.504547,423.163818,394.183014,4558920
2013-02-26,420.860657,420.860657,405.530975,407.883667,379.949341,6218671
2013-02-27,411.103149,416.526733,409.691528,411.747040,383.548126,8172768
2013-02-28,414.669342,415.833313,399.092010,403.103973,375.497009,12768708
2013-03-01,404.168884,405.407135,398.968170,401.395172,373.905182,6417934
2013-03-04,400.652222,405.283325,398.670990,402.484833,374.920227,6898502
2013-03-05,405.704315,413.307251,405.704315,409.295288,381.264282,6073047
2013-03-06,412.044220,415.263702,409.468658,413.703491,385.370544,4974092
2013-03-07,411.722290,416.799164,408.156097,414.322632,385.947327,4859539
2013-03-08,417.542114,423.337189,416.056213,421.653137,392.775787,4675892
2013-03-11,422.049408,426.259491,416.080963,418.285065,389.638367,4877596
2013-03-12,421.256897,423.238129,417.814545,419.944336,391.184021,3946988
2013-03-13,417.145874,424.278259,416.155273,418.532715,389.869080,4338974
2013-03-14,418.037415,427.671112,413.703491,425.987061,396.812897,6825747
2013-03-15,428.315002,430.618164,415.214172,417.864075,389.246216,5904119
2013-03-18,413.579681,417.789764,411.499390,413.232971,384.932343,3702764
2013-03-19,414.372162,415.560913,402.138123,408.626617,380.641418,8293306
2013-03-20,410.805969,411.004089,402.856323,407.487427,379.580231,9312667
2013-03-21,408.626617,412.490021,398.596710,402.484833,374.920227,7688640
2013-03-22,400.355042,406.645416,398.398590,401.494232,373.997467,5481226
2013-03-25,406.447296,407.809387,397.358429,400.825562,373.374603,6488072
2013-03-26,397.482269,398.720520,386.337891,387.997162,361.424774,8983383
2013-03-28,388.814423,389.284973,378.611145,382.821228,356.603333,12236024
2013-04-01,386.833221,391.687195,383.266998,385.718781,359.302368,3842729
2013-04-02,386.436951,394.510437,385.495880,393.222656,366.292389,5127612
2013-04-03,395.154327,395.748688,381.880157,384.629089,358.287323,4301892
2013-04-04,382.623108,385.322540,378.512085,380.171356,354.134949,5499074
2013-04-05,380.889557,387.526642,380.245636,386.387421,359.925293,5994776
2013-04-08,385.396820,393.445526,385.347290,390.993774,364.216187,4097473
2013-04-09,392.331085,394.064667,381.929688,384.827209,358.471924,6037288
2013-04-10,386.387421,388.294342,382.177338,386.040710,359.602356,5625802
2013-04-11,388.319122,388.863953,378.487305,381.929688,355.772827,5274265
2013-04-12,379.898926,386.536011,378.908325,384.034729,357.733734,5237928
2013-04-15,382.895538,396.219238,382.895538,393.074066,366.153992,7469100
2013-04-16,394.758087,401.197052,389.012543,398.695770,371.390656,8202977
2013-04-17,399.141541,400.998932,380.988617,383.217468,356.972443,14816785
2013-04-18,384.604340,388.913483,382.697418,387.130402,360.617371,6365615
2013-04-22,389.309723,393.618896,385.495880,391.167114,364.377625,5902995
2013-04-23,392.033905,399.116760,389.334503,398.076630,370.813965,5702397
2013-04-25,400.008331,409.419128,400.008331,405.976746,378.173065,11962780
2013-04-26,402.682953,408.626617,391.142365,392.479675,365.600311,9623230
2013-04-29,392.826385,395.699158,390.523224,392.603516,365.715698,9676988
2013-04-30,393.098816,394.584717,384.926270,390.399414,363.662476,8098842
2013-05-02,390.003174,399.711151,388.021942,397.680389,370.444824,12569531
2013-05-03,397.729919,404.119354,393.717957,396.491669,369.337494,5961256
2013-05-06,397.333679,408.601868,397.333679,406.942596,379.072723,4318845
2013-05-07,406.893066,414.025452,405.976746,410.186829,382.094727,7628531
2013-05-08,411.152679,412.539551,407.165466,410.929810,382.786865,5472648
2013-05-09,410.310669,411.920410,403.673584,405.209015,377.457916,3776240
2013-05-10,403.524994,406.397766,400.800812,402.658203,379.253937,4191217
2013-05-13,402.856323,408.874268,395.649628,397.729919,374.612091,4193755
2013-05-14,396.516418,400.701752,394.064667,395.327698,372.349518,4074156
2013-05-15,397.234619,406.546356,397.234619,405.654785,382.076385,5194387
2013-05-16,404.168884,417.938354,403.921234,416.378143,392.176483,7013660
2013-05-17,416.378143,418.384125,407.784607,413.827332,389.773895,5761817
2013-05-20,414.768402,423.485779,410.484009,411.672760,387.744507,6109263
2013-05-21,411.647980,416.056213,408.775208,410.409729,386.554993,4889237
2013-05-22,411.152679,413.084381,402.930634,405.530975,381.959747,5805340
2013-05-23,402.014313,404.168884,386.387421,388.542023,365.958282,5906338
2013-05-24,392.974976,393.618896,385.941650,389.532623,366.891327,3680641
2013-05-27,397.606079,412.490021,396.739319,410.261139,386.414978,8748407
2013-05-28,411.103149,419.473816,409.221008,417.740234,393.459351,10030494
2013-05-29,416.303864,420.910187,412.811951,419.969116,395.558716,11884723
2013-05-30,418.532715,419.028046,411.103149,414.471222,390.380341,8410878
2013-05-31,413.133911,413.951141,397.284149,399.364410,376.151611,7919053
2013-06-03,398.076630,398.893890,388.938263,390.250824,367.567780,6537204
2013-06-04,391.588135,396.144928,385.916901,386.436951,363.975555,6808364
2013-06-05,386.585541,398.373810,386.585541,397.234619,374.145538,5883588
2013-06-06,396.243988,398.175690,390.349884,392.281555,369.480469,7897828
2013-06-07,393.371246,397.234619,386.833221,388.121002,365.561737,4347652
2013-06-10,390.795654,394.015137,387.328522,390.968994,368.244171,5243274
2013-06-11,388.071472,392.033905,384.009979,389.111603,366.494751,6111256
2013-06-12,387.848572,395.005737,387.427582,391.687195,368.920624,5895460
2013-06-13,387.823822,392.727325,386.610321,391.191895,368.454102,4488674
2013-06-14,394.361847,406.075806,394.312317,403.500214,380.047028,8111143
2013-06-17,403.921234,410.063019,401.741882,408.899048,385.132050,5117870
2013-06-18,407.982727,414.817932,404.887085,407.834137,384.129059,7226327
2013-06-19,407.140717,412.712891,403.624054,411.945160,388.001099,7998505
2013-06-20,405.109955,405.109955,393.767487,395.253387,372.279541,8040439
2013-06-21,396.194458,401.370422,388.121002,392.702576,369.877014,9454388
2013-06-24,391.290955,394.337067,385.594940,392.603516,369.783752,7527814
2013-06-25,396.095398,406.100586,393.767487,398.126160,374.985321,8875739
2013-06-26,400.924622,403.401154,396.788849,398.027100,374.892059,7689189
2013-06-27,404.416534,414.545532,403.376404,411.103149,387.208038,11884309
2013-06-28,430.667694,432.401276,419.028046,427.250092,402.416443,22213692
2013-07-01,426.952911,439.830841,423.807739,438.691650,413.192993,9459617
2013-07-02,437.403839,441.713013,430.296234,431.831665,406.731720,8205323
2013-07-03,426.209961,427.621582,420.291046,421.430267,396.934906,5914795
2013-07-04,422.544708,431.212524,419.696686,426.779541,401.973236,6107263
2013-07-05,429.107483,438.221100,429.107483,436.041748,410.697144,5887182
2013-07-08,430.915344,432.624146,425.045990,429.404663,404.445770,6577799
2013-07-09,430.469574,436.759949,429.454193,433.292816,408.107941,5963620
2013-07-10,433.020386,435.794098,415.560913,423.981079,399.337433,10262583
2013-07-11,428.438843,432.549866,425.590820,430.940125,405.891998,5246331
2013-07-12,433.020386,443.793274,430.717224,440.796692,415.175659,6632664
2013-07-15,438.840240,445.724976,438.840240,444.214294,418.394623,5959455
2013-07-16,439.335541,447.978607,437.379089,446.071686,420.144043,5987819
2013-07-17,447.260406,454.640472,447.260406,453.179321,426.838562,10675519
2013-07-18,454.690002,455.655823,450.331299,454.318512,427.911530,5678091
2013-07-19,455.210052,459.593506,452.238220,457.513245,430.920563,6598806
2013-07-22,453.204071,453.204071,445.254425,450.257019,424.086151,7826454
2013-07-23,451.742920,458.157135,449.365479,450.504669,424.319397,5736883
2013-07-24,449.736938,454.145172,443.372284,450.405609,424.226013,6363428
